"appid","time0","grade","reviews"
"363050",1429833600,100,5
"363060",1429833600,100,2
"363070",1429833600,100,1
"363200",1430697600,50,2
"363220",1429056000,100,6
"363320",1430179200,100,1
"363330",1429228800,92,27
"363340",1429660800,100,1
"291170",1415664000,67,52
"363410",1432080000,78,19
"363430",1431648000,100,4
"363460",1429574400,91,70
"363480",1429228800,58,17
"363490",1428969600,46,13
"363550",1430870400,100,5
"363620",1429315200,93,15
"363630",1431993600,100,1
"363660",1429228800,25,4
"363790",1430784000,84,32
"363900",1429142400,66,6
"363920",1429488000,100,1
"363970",1431561600,92,5287
"279440",1416528000,77,148
"279720",1425427200,61,39
"279740",1427932800,80,5
"279800",1427068800,98,100
"364100",1432166400,100,3
"364130",1432166400,85,7
"364180",1429142400,0,1
"364240",1429488000,0,1
"364270",1430265600,100,4
"364300",1431302400,72,43
"292140",1415664000,73,1025
"364320",1432166400,50,2
"364370",1429747200,60,10
"364380",1429833600,97,42
"364450",1429488000,67,46
"364480",1431561600,100,3
"364660",1429228800,50,2
"364770",1429488000,100,6
"364800",1431043200,100,4
"364810",1431043200,100,13
"364890",1429747200,73,15
"364920",1429488000,80,5
"364930",1429920000,88,18
"364940",1429660800,64,89
"364970",1430438400,100,2
"365030",1429315200,75,4
"365031",1429228800,50,6
"365032",1429228800,85,7
"365033",1429228800,62,8
"365050",1429488000,56,192
"365070",1429574400,63,273
"365080",1431302400,75,5
"365110",1429574400,75,4
"365170",1429747200,93,62
"365190",1431475200,90,11
"208750",1415750400,92,438
"365210",1430438400,95,21
"365270",1429574400,54,31
"365280",1430697600,60,5
"293140",1422057600,91,12
"365330",1429833600,71,32
"365340",1430092800,57,7
"365360",1429574400,95,191
"293220",1431561600,77,202
"365400",1430870400,33,3
"365420",1430179200,70,11
"365430",1429747200,100,4
"365460",1432598400,100,1
"365500",1430352000,100,9
"293340",1416441600,59,52
"365530",1431993600,100,1
"365580",1430697600,100,6
"293440",1415145600,87,56
"365620",1430784000,33,3
"293480",1415923200,85,60
"365670",1429833600,99,625
"293560",1414713600,65,1343
"365840",1431561600,95,22
"365860",1432080000,100,15
"365870",1431302400,100,7
"293760",1426118400,91,273
"366060",1432166400,100,5
"366080",1429747200,93,15
"366140",1429747200,0,1
"294060",1423526400,87,24
"366290",1430179200,85,14
"294160",1417564800,86,521
"366460",1430697600,100,6
"366530",1430352000,40,15
"366610",1429833600,42,7
"366660",1432166400,73,192
"366670",1430697600,50,4
"366700",1429833600,33,3
"366800",1430352000,90,61
"366890",1432166400,0,8
"366990",1430352000,100,2
"294810",1416268800,94,386
"294860",1414627200,94,3107
"222180",1425945600,90,11
"222420",1417046400,73,400
