"appid","query_date","bundles"
"275125","2015-04-09",
"275127","2015-02-24",
"275200","2015-01-29",
"347430","2015-03-02",
"347440","2015-02-24",
"347450","2015-03-27",
"347470","2015-03-30",
"347480","2015-02-03",
"347490","2015-01-29",
"347491","2015-01-29",
"347492","2015-01-29",
"347493","2015-01-29",
"347494","2015-01-29",
"347560","2015-02-03",
"347570","2015-02-12",
"347580","2015-02-12",
"347590","2015-02-16",
"347620","2015-05-25",
"347630","2015-03-23",
"347640","2015-03-20",
"347641","2015-03-20",
"347642","2015-03-20",
"347643","2015-03-20",
"347644","2015-03-20",
"347645","2015-03-20",
"347670","2015-03-11",
"347680","2015-02-20",
"347690","2015-02-02",
"347710","2015-03-26",
"347780","2015-02-03",
"347790","2015-04-03",
"347800","2015-02-28",
"275690","2014-11-11",
"347880","2015-02-03",
"347890","2015-04-15",
"347900","2015-02-03",
"347910","2015-02-21",
"347920","2015-02-09",
"347930","2015-02-04",
"347940","2015-02-04",
"347980","2015-02-24",
"347981","2015-04-15",
"347990","2015-03-04",
"360010","2015-04-27",
"360030","2015-05-25",
"360090","2015-04-07",
"360091","2015-04-07",
"360092","2015-04-07",
"360093","2015-04-07",
"360094","2015-04-07",
"360095","2015-04-07",
"360096","2015-04-07",
"360097","2015-04-07",
"360098","2015-04-07",
"360099","2015-04-07",
"360110","2015-04-07",
"360111","2015-04-07",
"360112","2015-04-07",
"360113","2015-04-07",
"360114","2015-04-07",
"360115","2015-04-07",
"360120","2015-04-07",
"360130","2015-04-08",
"360140","2015-04-23",
"360240","2015-04-09",
"360290","2015-05-16",
"360350","2015-05-19",
"360360","2015-05-15",
"360380","2015-04-23",
"360390","2015-04-02",
"360420","2015-04-07",
"360421","2015-04-07",
"360422","2015-04-07",
"360423","2015-04-08",
"360424","2015-04-07",
"360425","2015-04-07",
"360426","2015-04-07",
"360427","2015-04-07",
"360428","2015-04-07",
"360450","2015-04-16",
"360480","2015-05-04",
"360520","2015-04-01",
"360530","2015-04-13",
"360590","2015-05-13",
"360600","2015-03-31",
"360680","2015-05-12",
"360720","2015-04-18",
"360750","2015-04-20",
"360770","2015-05-18",
"360790","2015-05-18",
"360820","2015-04-01",
"360870","2015-04-06",
"360880","2015-05-07",
"360890","2015-04-20",
"360920","2015-05-13",
"360960","2015-04-13",
"348000","2015-02-05",
"348010","2015-02-04",
"348020","2015-03-27",
