"appid","query_date","grade","reviews","bundles"
"273524","2014-10-29",100,1,
"273525","2014-10-29",100,1,
"273526","2014-10-29",100,2,
"273527","2014-10-29",100,2,
"345710","2015-02-12",72,37,
"273540","2014-10-29",0,1,
"273550","2014-10-29",78,14,
"345740","2015-04-02",93,44,
"273570","2014-10-29",96,227,
"345750","2015-02-09",42,38,
"273580","2014-10-29",95,47,
"273590","2014-10-29",84,25,
"345790","2015-01-26",50,10,
"273600","2014-10-29",79,93,
"273620","2014-10-29",62,134,
"345800","2015-02-03",87,8,
"345820","2015-04-22",97,73,
"273670","2014-10-29",0,0,
"273680","2014-10-29",0,0,
"345860","2015-01-23",88,45,
"345870","2015-02-18",92,27,
"345890","2015-05-22",68,38,
"273700","2014-10-29",0,0,
"345900","2015-03-29",60,5,
"273730","2014-10-29",24,50,
"273740","2014-10-29",3,28,
"273750","2014-12-18",88,60,
"345930","2015-04-02",100,2,
"273760","2014-10-29",17,173,
"273770","2014-10-29",9,290,
"273790","2015-04-16",0,1,
"345980","2015-03-10",85,183,
"273820","2014-10-29",19,56,
"273830","2014-11-04",31,22,
"273840","2014-12-18",93,169,
"273850","2014-11-17",25,20,
"273860","2014-11-25",26,15,
"273940","2014-10-29",38,138,
"273960","2014-10-29",50,78,
"201000","2014-10-29",85,7,
"201010","2014-10-29",88,27,
"201020","2014-10-29",84,88,
"201040","2014-10-29",39,117,
"201060","2014-10-29",0,0,
"201070","2014-10-29",55,205,
"201090","2014-10-29",0,1,
"201100","2014-10-29",87,8,
"201120","2014-10-29",100,3,
"201160","2014-10-29",50,2,
"201170","2014-10-29",0,0,
"201210","2014-10-29",68,285,
"201230","2014-10-29",77,590,
"201271","2014-10-29",100,137,
"201272","2014-10-29",100,16,
"201273","2014-10-29",0,0,
"201274","2014-10-29",0,0,
"201275","2014-10-29",0,0,
"201276","2014-10-29",0,0,
"201277","2014-10-29",100,1,
"201279","2014-10-29",100,4,
"201290","2014-10-29",86,305,
"201310","2014-10-29",93,684,
"201420","2014-10-29",79,465,
"201430","2014-10-29",0,0,
"201480","2014-10-29",56,366,
"201490","2014-10-29",11,240,
"201510","2014-10-29",14,1023,
"201570","2014-10-29",76,1717,
"201680","2014-10-29",93,32,
"201700","2014-10-29",80,1162,
"201720","2014-10-29",75,4,
"201741","2014-10-29",100,6,
"201790","2014-10-29",96,7542,
"201802","2014-10-29",100,16,
"201804","2014-10-29",100,10,
"201805","2014-10-29",100,9,
"201809","2014-10-29",0,0,
"201810","2014-10-29",91,10554,
"201830","2014-10-29",72,494,
"201870","2014-10-29",86,2572,
"201877","2014-10-29",0,0,
"201881","2014-10-29",83,6,
"201882","2014-10-29",71,28,
"346010","2015-01-28",98,9407,
"346040","2015-03-26",62,40,
"346060","2015-02-24",100,1,
"346070","2015-04-22",0,0,
"346071","2015-04-22",0,0,
"346080","2015-02-02",61,21,
"346110","2015-05-11",0,0,
"346120","2015-02-20",77,1320,
"346130","2015-04-29",100,4,
"346140","2015-02-27",72,11,
"346150","2015-04-06",0,0,
"346160","2015-02-03",52,17,
"346170","2015-02-21",100,15,
"346180","2015-02-12",85,371,
"274010","2014-10-29",53,41,
"346200","2015-02-05",58,12,
"346210","2015-02-02",80,21,
"274050","2014-10-29",53,15,
"346230","2015-02-20",0,1,
"346240","2015-01-26",42,19,
"346250","2015-01-26",90,1324,
"346270","2015-03-05",58,129,
"346280","2015-02-27",0,0,
"346290","2015-02-02",86,68,
"274120","2014-10-29",100,3,
"274121","2014-10-29",100,7,
"274122","2014-10-29",80,5,
"274123","2014-10-29",95,66,
"274130","2014-10-29",40,194,
"346310","2015-01-26",0,0,
"346311","2015-01-26",0,0,
"346320","2015-01-27",42,21,
"274160","2014-10-29",90,11,
"274161","2014-10-29",100,14,
"346340","2015-05-09",87,8,
"274170","2014-10-29",89,6238,
"346360","2015-02-20",93,16,
"274190","2014-10-29",98,6204,
"346370","2015-02-03",27,470,
"346400","2015-01-26",26,15,
"274230","2015-01-22",0,0,
"346420","2015-03-11",79,161,
"274250","2014-10-29",80,512,
"346440","2015-02-05",76,21,
"274270","2015-02-19",92,180,
"346450","2015-01-26",68,48,
"274290","2014-10-29",70,986,
"346470","2015-02-26",90,41,
"346480","2015-02-06",0,0,
"346490","2015-03-12",0,0,
"90006","2014-10-29",0,0,
"90007","2014-10-29",0,0,
"90008","2014-10-29",0,0,
"90011","2014-10-29",0,0,
"90014","2014-10-29",0,0,
"90044","2014-10-29",0,0,
"90047","2014-10-29",0,0,
"274310","2014-10-29",77,1375,
"346510","2015-02-12",100,10,
"274350","2015-03-13",0,0,
"346540","2015-02-12",0,0,
"346541","2015-02-12",0,0,
"346542","2015-02-13",100,1,
"346550","2015-03-02",90,11,
"346560","2015-02-11",96,186,
"346590","2015-03-19",81,11,
"274430","2014-10-29",100,1,
"274431","2014-10-29",50,6,
"274450","2014-10-29",82,141,
"346630","2015-02-04",100,11,
"346640","2015-01-29",100,4,
"274470","2014-10-29",0,0,
"274471","2014-10-29",0,0,
"346650","2015-01-27",53,13,
"274480","2014-10-29",94,141,
"346660","2015-01-27",0,0,
"346670","2015-03-10",37,16,
"346690","2015-02-03",0,1,
"90200","2014-10-29",88,193,
"90207","2014-10-29",0,0,
"90208","2014-10-29",0,0,
"90209","2014-10-29",0,0,
"90210","2014-10-29",100,1,
"274500","2014-10-29",100,1,
"274520","2014-10-29",95,599,
"346720","2015-02-11",50,4,
"274560","2014-10-29",74,276,
"346743","2015-03-31",0,0,
"274580","2014-11-24",0,0,
"346770","2015-04-22",100,26,
"346780","2015-04-06",90,20,
"274620","2014-10-29",70,171,
"346800","2015-02-27",28,42,
"346810","2015-02-04",92,180,
"346830","2015-04-23",73,45,
"346850","2015-04-17",0,0,
"346860","2015-01-28",100,1,
"346890","2015-02-04",0,0,
"90400","2014-10-29",82,46,
"90410","2014-10-29",0,0,
"274700","2015-01-22",100,39,
"346900","2015-03-30",93,10491,
"346920","2015-01-29",30,26,
"346940","2015-05-21",0,0,
"346950","2015-02-17",60,5,
"346970","2015-02-14",100,13,
"346990","2015-04-28",0,0,
"90500","2014-10-29",40,118,
"90503","2014-10-29",0,0,
"90504","2014-10-29",0,0,
"90520","2014-10-29",0,0,
"274800","2014-10-29",100,4,
"274880","2014-10-29",71,84,
"274900","2014-10-29",85,1187,
"274920","2014-10-29",86,1592,
"274940","2014-10-29",91,2709,
"274960","2014-10-29",0,0,
"274980","2014-10-29",76,510,
"202070","2014-10-29",85,128,
"202090","2014-10-29",85,8900,
"78000","2014-10-29",96,994,
"202130","2014-10-29",47,246,
"202170","2014-10-29",94,13025,
"202181","2014-10-29",82,24,
"202191","2014-10-29",50,4,
"202193","2014-10-29",33,3,
"202200","2014-10-29",76,657,
"202270","2014-10-29",56,264,
"202290","2014-10-29",92,39,
"202310","2014-10-29",69,404,
"202370","2014-10-29",65,32,
"202410","2014-10-29",86,82,
"202412","2014-10-29",0,0,
"202450","2014-10-29",100,1,
"202452","2014-10-29",0,1,
"202454","2014-10-29",100,1,
"202485","2014-10-29",80,609,
"202520","2014-10-29",83,6,
"202521","2014-10-29",100,7,
"202523","2014-10-29",100,8,
"202524","2014-10-29",100,2,
"202530","2014-10-29",53,564,
"202610","2014-10-29",33,6,
"202650","2014-10-29",100,1,
"202652","2014-10-29",50,2,
"202670","2014-10-29",69,13,
"202690","2014-10-29",95,64,
"202710","2014-10-29",76,401,
"202730","2014-10-29",86,317,
"202750","2014-10-29",75,2408,
"202860","2014-10-29",36,44,
"202951","2014-10-29",50,2,
"202961","2014-10-29",50,2,
"202970","2014-10-29",86,15031,
"347010","2015-01-28",25,16,
"347030","2015-02-02",42,89,
"347040","2015-03-09",100,15,
"347050","2015-02-26",100,4,
"347070","2015-02-13",50,2,
"347090","2015-03-16",63,137,
"347100","2015-01-29",0,0,
"347101","2015-01-29",0,0,
"347102","2015-01-29",0,0,
"347103","2015-01-29",0,0,
"347104","2015-01-29",0,0,
"347105","2015-01-29",0,0,
"347110","2015-02-11",0,0,
"347120","2015-02-24",100,1,
"347150","2015-05-12",84,38,
"347154","2015-04-22",85,21,
"347155","2015-04-16",76,88,
"347160","2015-05-12",100,18,
"347180","2015-02-09",0,0,
"347181","2015-04-30",75,8,
"347190","2015-05-06",100,9,
"275020","2014-10-29",90,21,
"347210","2015-05-06",100,9,
"347211","2015-05-06",87,8,
"347212","2015-05-07",95,23,
"347213","2015-03-23",96,105,
"347220","2015-04-20",100,3,
"275050","2014-10-29",0,2,
"347230","2015-04-01",100,2,
"275060","2014-10-29",0,0,
"347240","2015-04-01",100,1,
"347250","2015-04-01",100,2,
"275080","2014-10-29",42,140,
"347260","2015-04-01",33,3,
"347270","2015-04-01",50,2,
"347280","2015-03-21",0,0,
"347290","2015-02-28",0,0,
"275100","2014-10-29",87,566,
"275124","2014-10-29",0,1,
"275125","2015-04-09",100,1,
"275127","2015-02-24",0,0,
"275128","2014-10-29",0,1,
"275144","2014-10-29",100,1,
"275163","2014-10-29",100,3,
"275170","2014-10-29",0,0,
"275171","2014-10-29",0,0,
"275180","2014-10-29",87,195,
"275200","2015-01-29",96,235,
"275240","2014-10-29",0,0,
"347430","2015-03-02",95,24,
"347440","2015-02-24",66,36,
"347450","2015-03-27",0,0,
"275290","2014-10-29",88,136,
"347470","2015-03-30",0,0,
"347480","2015-02-03",50,6,
"347490","2015-01-29",0,0,
"347491","2015-01-29",0,0,
"347492","2015-01-29",0,0,
"347493","2015-01-29",0,0,
"347494","2015-01-29",0,0,
"275310","2014-10-29",10,20,
"275330","2014-10-29",50,8,
"275350","2014-10-29",80,46,
"347560","2015-02-03",92,27,
"275390","2014-10-29",96,243,
"347570","2015-02-12",0,0,
"347580","2015-02-12",14,14,
"347590","2015-02-16",80,5,
"91100","2014-10-29",92,526,
"91104","2014-10-29",100,1,
"91106","2014-10-29",100,1,
"91110","2014-10-29",100,4,
"275440","2014-10-29",0,0,
"347620","2015-05-25",0,0,
"347630","2015-03-23",71,39,
"347640","2015-03-20",0,0,
