"appid","query_date","grade","reviews","bundles"
"360423","2015-04-08",0,0,
"360424","2015-04-07",0,0,
"360425","2015-04-07",0,0,
"360426","2015-04-07",0,0,
"360427","2015-04-07",0,0,
"360428","2015-04-07",0,0,
"360450","2015-04-16",83,49,
"360480","2015-05-04",75,280,
"360520","2015-04-01",100,3,
"360530","2015-04-13",100,4,
"360590","2015-05-13",72,11,
"360600","2015-03-31",66,9,
"360680","2015-05-12",0,0,
"360720","2015-04-18",0,1,
"360750","2015-04-20",75,8,
"360770","2015-05-18",0,0,
"360790","2015-05-18",0,0,
"360820","2015-04-01",94,18,
"360870","2015-04-06",80,638,
"360880","2015-05-07",0,0,
"360890","2015-04-20",48,45,
"360920","2015-05-13",0,0,
"360960","2015-04-13",96,491,
"348000","2015-02-05",25,8,
"348010","2015-02-04",100,1,
"348020","2015-03-27",71,353,
"348030","2015-05-21",0,0,
"348040","2015-03-09",99,303,
"348070","2015-03-06",0,0,
"348090","2015-02-05",91,493,
"348091","2015-02-05",68,278,
"348100","2015-02-05",0,0,
"348110","2015-02-09",0,0,
"348160","2015-03-26",0,0,
"348180","2015-03-12",68,16,
"348200","2015-04-07",88,43,
"348270","2015-02-25",58,67,
"348290","2015-03-25",47,48,
"348300","2015-04-17",0,0,
"348310","2015-02-05",0,0,
"348320","2015-02-18",0,0,
"348330","2015-02-10",92,53,
"348350","2015-05-22",51,31,
"348370","2015-05-13",0,0,
"348380","2015-02-04",29,107,
"348400","2015-03-25",81,11,
"348430","2015-05-08",100,2,
"348440","2015-05-08",100,2,
"348450","2015-02-09",54,59,
"348530","2015-03-23",66,9,
"348550","2015-05-22",0,0,
"348560","2015-02-07",100,8,
"348561","2015-02-18",92,13,
"348610","2015-02-06",40,5,
"348620","2015-03-26",93,459,
"348650","2015-02-06",61,18,
"348670","2015-03-12",71,45,
"348680","2015-02-27",50,2,
"348681","2015-03-10",100,3,
"348682","2015-04-21",100,1,
"348683","2015-04-21",100,3,
"348684","2015-04-07",100,1,
"348685","2015-04-07",100,1,
"348686","2015-03-24",0,1,
"348687","2015-05-05",100,4,
"348690","2015-02-13",100,2,
"348700","2015-03-18",53,71,
"348730","2015-04-24",66,15,
"348750","2015-02-24",100,3,
"348760","2015-02-21",85,7,
"348790","2015-02-11",93,16,
"348840","2015-05-22",0,0,
"348850","2015-02-24",0,0,
